link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N709-2R,(Int.with R760) - Muhammed Nagar Chowrasta(Int.with Z7606)(Right),LRP016,420,16.487,LRP018,55,18.122,1.635,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0,N709,89.5268327,22.8020278,89.536333,22.7865274,89.53158285,22.7942776,POINT (89.53158285 22.7942776),"LINESTRING (89.5268327 22.8020278, 89.536333 22.7865274)"
N709-3L,Muhammed Nagar Chowraasta(Int.with Z7606)-Kudir Bottala(Int.with N7) (Left),LRP018,55,18.122,LRP025,500,26.567,8.445,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0,N709,89.536333,22.7865274,89.6123611,22.7744716,89.57434705,22.780499499999998,POINT (89.57434705 22.780499499999998),"LINESTRING (89.536333 22.7865274, 89.6123611 22.7744716)"
N709-3R,Muhammed Nagar Chowrasta(Int.with Z7606) - Kudir Bottala(Int.with N7) (Right),LRP018,55,18.122,LRP025,500,26.567,8.445,0.0,28.0,71.0,5.0,12.0,484.0,276.0,627.0,4122.0,1420.0,674.0,4568.0,65.0,7045.0,5307.0,12352.0,12352.0,N709,89.536333,22.7865274,89.6123611,22.7744716,89.57434705,22.780499499999998,POINT (89.57434705 22.780499499999998),"LINESTRING (89.536333 22.7865274, 89.6123611 22.7744716)"
N309-1,Kewat Khali By pass more(Int.with Z3033)-Digarkandi Bus Stand (Int.with N3),LRPS,0,0,LRP004,42,3.16,3.160,7.0,1332.0,447.0,1254.0,0.0,311.0,192.0,247.0,985.0,618.0,297.0,688.0,5.0,5393.0,990.0,6383.0,6383.0,N309,90.4249993,24.740083,90.4100833,24.7163333,90.4175413,24.72820815,POINT (90.4175413 24.72820815),"LINESTRING (90.4249993 24.740083, 90.4100833 24.7163333)"
N309-2,Digarkandi Bus Stand (Int.with N3)-Int.with Z3035,LRP004,42,3.16,LRP007,871,7.074,3.914,7.0,1332.0,447.0,1254.0,0.0,311.0,192.0,247.0,985.0,618.0,297.0,688.0,5.0,5393.0,990.0,6383.0,6383.0,N309,90.4100833,24.7163333,90.3876108,24.7340552,90.39884705,24.72519425,POINT (90.39884705 24.72519425),"LINESTRING (90.4100833 24.7163333, 90.3876108 24.7340552)"
N309-3,Int.with Z3035-Mymensingh engineering College(Int.with N401),LRP007,871,7.074,LRP014,10,13.303,6.229,7.0,1332.0,447.0,1254.0,0.0,311.0,192.0,247.0,985.0,618.0,297.0,688.0,5.0,5393.0,990.0,6383.0,6383.0,N309,90.3876108,24.7340552,90.3442497,24.7822493,90.36593025,24.758152250000002,POINT (90.36593025 24.758152250000002),"LINESTRING (90.3876108 24.7340552, 90.3442497 24.7822493)"
N502-1,Bogra (Jahangirabad) Int.with N5-Katham (Nandigram) Int.with Z5207,LRPS,0,0,LRP020,906,19.936,19.936,31.0,698.0,518.0,294.0,251.0,223.0,127.0,248.0,2409.0,1242.0,651.0,601.0,0.0,6041.0,1252.0,7293.0,7293.0,N502,89.36275,24.821916,89.281666,24.6747493,89.322208,24.748332650000002,POINT (89.322208 24.748332650000002),"LINESTRING (89.36275 24.821916, 89.281666 24.6747493)"
N502-2,Katham (Nandigram) Int.with Z5207 -Kaigari (Nandigram) Int.with Z5030,LRP020,906,19.936,LRP023,536,22.556,2.620,31.0,698.0,518.0,294.0,251.0,223.0,127.0,248.0,2409.0,1242.0,651.0,601.0,0.0,6041.0,1252.0,7293.0,7293.0,N502,89.281666,24.6747493,89.2618611,24.6546111,89.27176355,24.6646802,POINT (89.27176355 24.6646802),"LINESTRING (89.281666 24.6747493, 89.2618611 24.6546111)"
N502-3,Kaigari (Nandigram) Int.with Z5030-Omarpur (Nandigram) Int.with Z5202,LRP023,536,22.556,LRP026,558,25.578,3.022,31.0,698.0,518.0,294.0,251.0,223.0,127.0,248.0,2409.0,1242.0,651.0,601.0,0.0,6041.0,1252.0,7293.0,7293.0,N502,89.2618611,24.6546111,89.2463886,24.6482774,89.25412485000001,24.65144425,POINT (89.25412485000001 24.65144425),"LINESTRING (89.2618611 24.6546111, 89.2463886 24.6482774)"
N502-4,Omarpur (Nandigram) Int.with Z5202-Int.with Z5209 (Shingra),LRP026,558,25.578,LRP040,4670,43.7,18.122,33.0,670.0,479.0,733.0,508.0,403.0,150.0,430.0,1238.0,603.0,336.0,363.0,0.0,5247.0,699.0,5946.0,5946.0,N502,89.2463886,24.6482774,89.1741104,24.5290549,89.2102495,24.58866615,POINT (89.2102495 24.58866615),"LINESTRING (89.2463886 24.6482774, 89.1741104 24.5290549)"
N502-5,Int.with Z5209 (Shingra)-Dalsarker (Int.with Z5211),LRP040,4670,43.7,LRP055,2120,56.13,12.430,33.0,670.0,479.0,733.0,508.0,403.0,150.0,430.0,1238.0,603.0,336.0,363.0,0.0,5247.0,699.0,5946.0,5946.0,N502,89.1741104,24.5290549,89.0561944,24.4614167,89.1151524,24.4952358,POINT (89.1151524 24.4952358),"LINESTRING (89.1741104 24.5290549, 89.0561944 24.4614167)"
N502-6,"Dalsarker (Int.with Z5211)-Madrasha more, Natore (Int.with N602)",LRP055,2120,56.13,LRPE,0,63.29,7.160,33.0,670.0,479.0,733.0,508.0,403.0,150.0,430.0,1238.0,603.0,336.0,363.0,0.0,5247.0,699.0,5946.0,5946.0,N502,89.0561944,24.4614167,88.9961108,24.4118889,89.02615259999999,24.4366528,POINT (89.02615259999999 24.4366528),"LINESTRING (89.0561944 24.4614167, 88.9961108 24.4118889)"
N803-1L,"Alipur-Tapakhola, int.with Z8402 (Left)",LRPS,0,0,LRPS,2450,2.45,2.450,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0,N803,89.8273882,23.6001111,89.8273882,23.6001111,89.8273882,23.6001111,POINT (89.8273882 23.6001111),"LINESTRING (89.8273882 23.6001111, 89.8273882 23.6001111)"
N803-1R,"Alipur-Tapakhola, int.with Z8402 (Right)",LRPS,0,0,LRPS,2450,2.45,2.450,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0,N803,89.8273882,23.6001111,89.8273882,23.6001111,89.8273882,23.6001111,POINT (89.8273882 23.6001111),"LINESTRING (89.8273882 23.6001111, 89.8273882 23.6001111)"
N803-2,"Tapakhola, int.with Z8402- (Int.with Z7108)",LRPS,2450,2.45,LRPS,4550,4.55,2.100,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0,N803,89.8273882,23.6001111,89.8273882,23.6001111,89.8273882,23.6001111,POINT (89.8273882 23.6001111),"LINESTRING (89.8273882 23.6001111, 89.8273882 23.6001111)"
N803-3,(Int.with Z7108)-SS Ghat,LRPS,4550,4.55,LRPE,0,6.13,1.580,0.0,236.0,1872.0,0.0,157.0,75.0,6.0,52.0,1754.0,1275.0,1543.0,1368.0,0.0,5427.0,2911.0,8338.0,8338.0,N803,89.8273882,23.6001111,89.8548333,23.6322771,89.84111075,23.6161941,POINT (89.84111075 23.6161941),"LINESTRING (89.8273882 23.6001111, 89.8548333 23.6322771)"
