link_no,name,LRP_Start,Offset_Start,Chainage_Start,LRP_End,Offset_End,Chainage_End,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),road_name,lon_start,lat_start,lon_end,lat_end,lon_mid,lat_mid,mid_geometry,geometry
N6-7,Pabna  (Int.with N604)-Gaspara (Int.with N604),LRP045,1320,46.269,LRP050,1410,51.339,5.070,31.0,650.0,405.0,410.0,278.0,417.0,236.0,359.0,1571.0,921.0,834.0,654.0,0.0,5278.0,1488.0,6766.0,6766.0,N6,89.2384997,24.0278049,89.2068611,24.0582778,89.2226804,24.04304135,POINT (89.2226804 24.04304135),"LINESTRING (89.2384997 24.0278049, 89.2068611 24.0582778)"
N6-8,Tebunia (int.with R604)-Dasuria (Int.with N704),LRP050,1410,51.339,LRP060,1100,61.306,9.967,39.0,558.0,462.0,325.0,108.0,339.0,181.0,201.0,2057.0,1289.0,555.0,491.0,0.0,5559.0,1046.0,6605.0,6605.0,N6,89.2068611,24.0582778,89.1303049,24.1061389,89.168583,24.082208350000002,POINT (89.168583 24.082208350000002),"LINESTRING (89.2068611 24.0582778, 89.1303049 24.1061389)"
N6-9,Dasuria (Int.with N704)-Kadamchilan (Int.with Z6022),LRP060,1100,61.306,LRP078,520,78.624,17.318,39.0,558.0,462.0,325.0,108.0,339.0,181.0,201.0,2057.0,1289.0,555.0,491.0,0.0,5559.0,1046.0,6605.0,6605.0,N6,89.1303049,24.1061389,89.10081696909091,24.24324868,89.11556093454546,24.17469379,POINT (89.11556093454546 24.17469379),"LINESTRING (89.1303049 24.1061389, 89.10081696909091 24.24324868)"
N6-10,Kadamchilan (Int.with Z6022)-Banpara (Int.with Z6014),LRP078,520,78.624,LRP083,300,83.424,4.800,36.0,1433.0,1002.0,806.0,488.0,487.0,115.0,244.0,1219.0,1112.0,937.0,1674.0,0.0,6942.0,2611.0,9553.0,9553.0,N6,89.10081696909091,24.24324868,89.0836108,24.283583,89.09221388454546,24.26341584,POINT (89.09221388454546 24.26341584),"LINESTRING (89.10081696909091 24.24324868, 89.0836108 24.283583)"
N6-11,Banpara (Int.with Z6014)-Banpara (Int.with N507),LRP083,300,83.424,LRP084,700,84.844,1.420,36.0,1433.0,1002.0,806.0,488.0,487.0,115.0,244.0,1219.0,1112.0,937.0,1674.0,0.0,6942.0,2611.0,9553.0,9553.0,N6,89.0836108,24.283583,89.0810549,24.2922219,89.08233285,24.28790245,POINT (89.08233285 24.28790245),"LINESTRING (89.0836108 24.283583, 89.0810549 24.2922219)"
N6-12,Banpara (Int.with N507)-Ahmedpur (Int. with Z6015),LRP084,700,84.844,LRP089,490,90.064,5.220,36.0,1433.0,1002.0,806.0,488.0,487.0,115.0,244.0,1219.0,1112.0,937.0,1674.0,0.0,6942.0,2611.0,9553.0,9553.0,N6,89.0810549,24.2922219,89.0727493,24.3364997,89.0769021,24.314360800000003,POINT (89.0769021 24.314360800000003),"LINESTRING (89.0810549 24.2922219, 89.0727493 24.3364997)"
N6-13,Ahmedpur (Int. with Z6015)-Harishpur (Int.with N602 ),LRP089,490,90.064,LRP099,1380,100.644,10.580,285.0,1905.0,1187.0,546.0,787.0,303.0,61.0,137.0,1705.0,1335.0,1135.0,992.0,2.0,8251.0,2129.0,10380.0,10380.0,N6,89.0727493,24.3364997,89.0201938,24.4065,89.04647155,24.37149985,POINT (89.04647155 24.37149985),"LINESTRING (89.0727493 24.3364997, 89.0201938 24.4065)"
N6-14,Harishpur (Int.with N602 )-Bus Stand(Int.with N602),LRP099,1380,100.644,LRP105,990,106.274,5.630,285.0,1918.0,1198.0,552.0,796.0,302.0,61.0,173.0,1889.0,1372.0,1141.0,992.0,1.0,8546.0,2134.0,10680.0,10680.0,N6,89.0201938,24.4065,88.9651389,24.4025556,88.99266635000001,24.4045278,POINT (88.99266635000001 24.4045278),"LINESTRING (89.0201938 24.4065, 88.9651389 24.4025556)"
N6-15,Bus Stand(Int.with N602)-Puthia (Int.with Z6019),LRP105,990,106.274,LRP118,1400,119.694,13.420,285.0,1905.0,1187.0,546.0,787.0,303.0,61.0,137.0,1705.0,1335.0,1135.0,992.0,2.0,8251.0,2129.0,10380.0,10380.0,N6,88.9651389,24.4025556,88.8523056,24.3683882,88.90872225,24.3854719,POINT (88.90872225 24.3854719),"LINESTRING (88.9651389 24.4025556, 88.8523056 24.3683882)"
N6-16,Puthia (Int.with Z6019)-Baneswar (Int.with Z6006),LRP118,1400,119.694,LRP129,106,129.53,9.836,285.0,1918.0,1198.0,552.0,796.0,302.0,61.0,173.0,1889.0,1372.0,1141.0,992.0,1.0,8546.0,2134.0,10680.0,10680.0,N6,88.8523056,24.3683882,88.7559722,24.366666,88.8041389,24.367527099999997,POINT (88.8041389 24.367527099999997),"LINESTRING (88.8523056 24.3683882, 88.7559722 24.366666)"
N6-17,Baneswar (Int.with Z6006)-Belpukur(Int.with N603),LRP129,106,129.53,LRP132,165,132.589,3.059,16.0,1182.0,775.0,1162.0,387.0,772.0,165.0,256.0,1188.0,1212.0,744.0,637.0,0.0,7115.0,1381.0,8496.0,8496.0,N6,88.7559722,24.366666,88.7275271,24.3663889,88.74174965,24.36652745,POINT (88.74174965 24.36652745),"LINESTRING (88.7559722 24.366666, 88.7275271 24.3663889)"
N6-18,Belpukur(Int.with N603)-BIT More (Int.with Z6010),LRP132,165,132.589,LRP140,2280,142.734,10.145,16.0,1182.0,775.0,1162.0,387.0,772.0,165.0,256.0,1188.0,1212.0,744.0,637.0,0.0,7115.0,1381.0,8496.0,8496.0,N6,88.7275271,24.3663889,88.6508333,24.3677216,88.68918020000001,24.36705525,POINT (88.68918020000001 24.36705525),"LINESTRING (88.7275271 24.3663889, 88.6508333 24.3677216)"
N6-19,BIT More (Int.with Z6010)-Kashiadanga(Int.with N603),LRP140,2280,142.734,LRP148,3605,152.529,9.795,16.0,1182.0,775.0,1162.0,387.0,772.0,165.0,256.0,1188.0,1212.0,744.0,637.0,0.0,7115.0,1381.0,8496.0,8496.0,N6,88.6508333,24.3677216,88.5721938,24.369666,88.61151355,24.3686938,POINT (88.61151355 24.3686938),"LINESTRING (88.6508333 24.3677216, 88.5721938 24.369666)"
N6-20,Kashiadanga(Int.with N603)-Kashiadanga(Int.with Z6809),LRP148,3605,152.529,LRP148,3655,152.579,0.050,84.0,2255.0,585.0,329.0,186.0,265.0,104.0,157.0,1435.0,1298.0,510.0,201.0,0.0,6698.0,711.0,7409.0,7409.0,N6,88.5721938,24.369666,88.5721938,24.369666,88.5721938,24.369666,POINT (88.5721938 24.369666),"LINESTRING (88.5721938 24.369666, 88.5721938 24.369666)"
N6-21,Kashiadanga(Int.with Z6809)-Bijoynagar(Int.with R681),LRP148,3655,152.579,LRP162,486,163.52,10.941,84.0,2255.0,585.0,329.0,186.0,265.0,104.0,157.0,1435.0,1298.0,510.0,201.0,0.0,6698.0,711.0,7409.0,7409.0,N6,88.5721938,24.369666,88.4509167,24.395083,88.51155524999999,24.382374499999997,POINT (88.51155524999999 24.382374499999997),"LINESTRING (88.5721938 24.369666, 88.4509167 24.395083)"
N6-22,Bijoynagar(Int.with R681)-Uzanpara (Int.with R681),LRP162,486,163.52,LRP174,190,175.224,11.704,168.0,1822.0,324.0,478.0,136.0,276.0,72.0,132.0,749.0,825.0,264.0,32.0,0.0,4982.0,296.0,5278.0,5278.0,N6,88.4509167,24.395083,88.3489163,24.4449163,88.39991649999999,24.41999965,POINT (88.39991649999999 24.41999965),"LINESTRING (88.4509167 24.395083, 88.3489163 24.4449163)"
N6-23,Uzanpara (Int.with R681) Godagari (Int.with Z6813),LRP174,190,175.224,LRP177,800,178.829,3.605,168.0,1822.0,324.0,478.0,136.0,276.0,72.0,132.0,749.0,825.0,264.0,32.0,0.0,4982.0,296.0,5278.0,5278.0,N6,88.3489163,24.4449163,88.3286104,24.463,88.33876335,24.45395815,POINT (88.33876335 24.45395815),"LINESTRING (88.3489163 24.4449163, 88.3286104 24.463)"
N6-24,"Godagari (Int.with Z6813)-Bishaw road more, Bus Terminal,Nawabganj",LRP177,800,178.829,LRP193,50,194.134,15.305,168.0,1822.0,324.0,478.0,136.0,276.0,72.0,132.0,749.0,825.0,264.0,32.0,0.0,4982.0,296.0,5278.0,5278.0,N6,88.3286104,24.463,88.2821938,24.5911108,88.30540210000001,24.527055400000002,POINT (88.30540210000001 24.527055400000002),"LINESTRING (88.3286104 24.463, 88.2821938 24.5911108)"
N6-25,"Bishaw road more, Bus Terminal, Nawabganj-Rasulpur (Int. with Z6816)",LRP193,50,194.134,LRP209,400,210.684,16.550,2.0,166.0,112.0,5.0,9.0,38.0,14.0,24.0,882.0,952.0,963.0,512.0,0.0,2204.0,1475.0,3679.0,3679.0,N6,88.2821938,24.5911108,88.1636944,24.6588889,88.2229441,24.624999850000002,POINT (88.2229441 24.624999850000002),"LINESTRING (88.2821938 24.5911108, 88.1636944 24.6588889)"
N6-26,Rasulpur (Int. with Z6816)-Salimabad (Int. with Z6816),LRP209,400,210.684,LRP213,640,214.964,4.280,2.0,166.0,112.0,5.0,9.0,38.0,14.0,24.0,882.0,952.0,963.0,512.0,0.0,2204.0,1475.0,3679.0,3679.0,N6,88.1636944,24.6588889,88.1633056,24.693583,88.1635,24.67623595,POINT (88.1635 24.67623595),"LINESTRING (88.1636944 24.6588889, 88.1633056 24.693583)"
N6-27,Salimabad (Int. with Z6816)-Kanshat(Int. with Z6802),LRP213,640,214.964,LRP217,15,218.409,3.445,5.0,123.0,150.0,23.0,25.0,32.0,4.0,14.0,590.0,661.0,533.0,206.0,5.0,1627.0,744.0,2371.0,2371.0,N6,88.1633056,24.693583,88.1702216,24.7267493,88.1667636,24.71016615,POINT (88.1667636 24.71016615),"LINESTRING (88.1633056 24.693583, 88.1702216 24.7267493)"
N6-28,Kanshat(Int. with Z6802)-Baliadighi,LRP217,15,218.409,LRP230,750,232.244,13.835,5.0,123.0,150.0,23.0,25.0,32.0,4.0,14.0,590.0,661.0,533.0,206.0,5.0,1627.0,744.0,2371.0,2371.0,N6,88.1702216,24.7267493,88.1415552,24.8355552,88.15588840000001,24.78115225,POINT (88.15588840000001 24.78115225),"LINESTRING (88.1702216 24.7267493, 88.1415552 24.8355552)"
N402-1,Nakla-Nalitabari (Int with Z4602 and Z3040),LRPS,0,0,LRP013,1550,15,15.000,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N402,90.1785549,24.9718049,90.1875274,25.0791382,90.18304115,25.02547155,POINT (90.18304115 25.02547155),"LINESTRING (90.1785549 24.9718049, 90.1875274 25.0791382)"
N402-2,Nalitabari (Int with Z4602 and Z3040)-Nokugoan Border,LRP013,1550,15,LRPE,0,28.663,13.663,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N402,90.1875274,25.0791382,90.2242493,25.2005556,90.20588835,25.139846900000002,POINT (90.20588835 25.139846900000002),"LINESTRING (90.1875274 25.0791382, 90.2242493 25.2005556)"
N110-1,Link Road (Cox Bazar)-Int with R180,LRPS,0,0,LRPS,1890,1.89,1.890,0.0,254.0,410.0,452.0,199.0,517.0,419.0,233.0,2812.0,821.0,46.0,112.0,0.0,6117.0,158.0,6275.0,6275.0,N110,92.0232493,21.4259438,92.0232493,21.4259438,92.0232493,21.4259438,POINT (92.0232493 21.4259438),"LINESTRING (92.0232493 21.4259438, 92.0232493 21.4259438)"
N110-2,Int. with R180-Laboni More,LRPS,1890,1.89,LRP008,640,8.2,6.310,0.0,254.0,410.0,452.0,199.0,517.0,419.0,233.0,2812.0,821.0,46.0,112.0,0.0,6117.0,158.0,6275.0,6275.0,N110,92.0232493,21.4259438,91.9715827,21.4359997,91.997416,21.430971749999998,POINT (91.997416 21.430971749999998),"LINESTRING (92.0232493 21.4259438, 91.9715827 21.4359997)"
N109-1,Ramu Hospital-Int.with Z1009,LRPS,0,0,LRP001,640,1.585,1.585,0.0,180.0,130.0,133.0,64.0,402.0,56.0,507.0,2196.0,621.0,222.0,1022.0,0.0,4289.0,1244.0,5533.0,5533.0,N109,92.1014722,21.4433608,92.1030278,21.435083,92.10225,21.4392219,POINT (92.10225 21.4392219),"LINESTRING (92.1014722 21.4433608, 92.1030278 21.435083)"
N109-2,Int. with Z1009-Khalekuzzaman chattar,LRP001,640,1.585,LRP001,1565,2.51,0.925,0.0,180.0,130.0,133.0,64.0,402.0,56.0,507.0,2196.0,621.0,222.0,1022.0,0.0,4289.0,1244.0,5533.0,5533.0,N109,92.1030278,21.435083,92.1030278,21.435083,92.1030278,21.435083,POINT (92.1030278 21.435083),"LINESTRING (92.1030278 21.435083, 92.1030278 21.435083)"
N702-1,Jessore (Daratana More)-Khajura(Int.with Z7057),LRPS,0,0,LRP015,374,14.364,14.364,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,N702,89.2095,23.1665833,89.2534167,23.2747771,89.23145835,23.2206802,POINT (89.23145835 23.2206802),"LINESTRING (89.2095 23.1665833, 89.2534167 23.2747771)"
N702-2,Khajura(Int.with Z7057)-Arpara (Int.with Z7021),LRP015,374,14.364,LRP030,1645,30.62,16.256,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,N702,89.2534167,23.2747771,89.3604722,23.3658333,89.30694445,23.3203052,POINT (89.30694445 23.3203052),"LINESTRING (89.2534167 23.2747771, 89.3604722 23.3658333)"
N702-3,Arpara(Int.with Z7021)-Magura (Vaina More),LRP030,1645,30.62,LRPE,0,43.75,13.130,73.0,381.0,288.0,558.0,153.0,139.0,33.0,159.0,1096.0,1358.0,1629.0,864.0,0.0,4238.0,2493.0,6731.0,6731.0,N702,89.3604722,23.3658333,89.4189716,23.4856663,89.38972190000001,23.4257498,POINT (89.38972190000001 23.4257498),"LINESTRING (89.3604722 23.3658333, 89.4189716 23.4856663)"
N515-1,Shahjahanpur(Int.with N5)-Subgram Bus Stop (Int.with Z5032),LRPS,0,0,LRP008,815,8.705,8.705,108.0,199.0,262.0,175.0,147.0,172.0,33.0,179.0,1297.0,750.0,537.0,581.0,0.0,3322.0,1118.0,4440.0,4440.0,N515,89.3836941,24.8057778,89.4005278,24.8526667,89.39211095,24.82922225,POINT (89.39211095 24.82922225),"LINESTRING (89.3836941 24.8057778, 89.4005278 24.8526667)"
N515-2,Subgram Bus Stop (Int.with Z5032)-Mitaldi (Int.with N5),LRP008,815,8.705,LRPE,0,16,7.295,108.0,199.0,262.0,175.0,147.0,172.0,33.0,179.0,1297.0,750.0,537.0,581.0,0.0,3322.0,1118.0,4440.0,4440.0,N515,89.4005278,24.8526667,89.36025,24.8888052,89.3803889,24.87073595,POINT (89.3803889 24.87073595),"LINESTRING (89.4005278 24.8526667, 89.36025 24.8888052)"
N3-1L,Banani Rail Crossing-Progoti sharani(Left) (Left),LRPS,0,0,LRP001a,0,1.81,1.810,45.0,3442.0,3960.0,5513.0,5740.0,8092.0,4967.0,32348.0,11924.0,6377.0,4.0,2.0,0.0,82408.0,6.0,82414.0,82414.0,N3,90.4043056,23.8145833,90.4191104,23.8217771,90.411708,23.8181802,POINT (90.411708 23.8181802),"LINESTRING (90.4043056 23.8145833, 90.4191104 23.8217771)"
N3-1R,Banani Rail Crossing-Progoti sharani(Left) (Right),LRPS,0,0,LRP001a,0,1.81,1.810,127.0,3895.0,4424.0,5401.0,5037.0,8171.0,4024.0,31572.0,11410.0,7303.0,160.0,86.0,0.0,81364.0,246.0,81610.0,81610.0,N3,90.4043056,23.8145833,90.4191104,23.8217771,90.411708,23.8181802,POINT (90.411708 23.8181802),"LINESTRING (90.4043056 23.8145833, 90.4191104 23.8217771)"
N3-2L,"Progoti sharani-Abdullahpur, Int. with N302 (Left) (Left)",LRP001a,0,1.81,LRP001a,7247,9.057,7.247,38.0,691.0,4023.0,3908.0,4950.0,13647.0,4171.0,32162.0,6495.0,3353.0,16.0,22.0,0.0,73438.0,38.0,73476.0,73476.0,N3,90.4191104,23.8217771,90.4191104,23.8217771,90.4191104,23.8217771,POINT (90.4191104 23.8217771),"LINESTRING (90.4191104 23.8217771, 90.4191104 23.8217771)"
N3-2R,"Progoti sharani-Abdullahpur, Int. with N302 (Left) (Right)",LRP001a,0,1.81,LRP001a,7247,9.057,7.247,234.0,3276.0,4154.0,5469.0,5022.0,7480.0,5107.0,26305.0,8665.0,3226.0,60.0,70.0,0.0,68938.0,130.0,69068.0,69068.0,N3,90.4191104,23.8217771,90.4191104,23.8217771,90.4191104,23.8217771,POINT (90.4191104 23.8217771),"LINESTRING (90.4191104 23.8217771, 90.4191104 23.8217771)"
N3-3L,"Abdullahpur-Tongi St. Road, (int. with R301)(Left) (Left)",LRP001a,7247,9.057,LRP001a,8711,10.521,1.464,163.0,2852.0,2919.0,3963.0,3081.0,3496.0,812.0,4681.0,3084.0,1333.0,224.0,2295.0,0.0,26384.0,2519.0,28903.0,28903.0,N3,90.4191104,23.8217771,90.4191104,23.8217771,90.4191104,23.8217771,POINT (90.4191104 23.8217771),"LINESTRING (90.4191104 23.8217771, 90.4191104 23.8217771)"
N3-3R,"Abdullahpur-Tongi St. Road, (int. with R301)(Left) (Right)",LRP001a,7247,9.057,LRP001a,8711,10.521,1.464,169.0,2999.0,3086.0,4079.0,3314.0,3531.0,873.0,4600.0,3044.0,1434.0,251.0,2329.0,0.0,27129.0,2580.0,29709.0,29709.0,N3,90.4191104,23.8217771,90.4191104,23.8217771,90.4191104,23.8217771,POINT (90.4191104 23.8217771),"LINESTRING (90.4191104 23.8217771, 90.4191104 23.8217771)"
N3-4L,Tongi st.road (Int.with R301)-Tongi (Int.with R303) (Left) (Left),LRP001a,8711,10.521,LRP001a,8920,10.73,0.209,163.0,2852.0,2919.0,3963.0,3081.0,3496.0,812.0,4681.0,3084.0,1333.0,224.0,2295.0,0.0,26384.0,2519.0,28903.0,28903.0,N3,90.4191104,23.8217771,90.4191104,23.8217771,90.4191104,23.8217771,POINT (90.4191104 23.8217771),"LINESTRING (90.4191104 23.8217771, 90.4191104 23.8217771)"
N3-4R,Tongi st.road (Int.with R301)-Tongi (Int.with R303) (Left) (Right),LRP001a,8711,10.521,LRP001a,8920,10.73,0.209,169.0,2999.0,3086.0,4079.0,3314.0,3531.0,873.0,4600.0,3044.0,1434.0,251.0,2329.0,0.0,27129.0,2580.0,29709.0,29709.0,N3,90.4191104,23.8217771,90.4191104,23.8217771,90.4191104,23.8217771,POINT (90.4191104 23.8217771),"LINESTRING (90.4191104 23.8217771, 90.4191104 23.8217771)"
N3-5L,Tongi (Int.with R303)-Int.with N105 (Left) (Left),LRP001a,8920,10.73,LRP020,577,20.449,9.719,42.0,2102.0,1598.0,1655.0,1803.0,1728.0,605.0,3894.0,1983.0,461.0,159.0,652.0,0.0,15871.0,811.0,16682.0,16682.0,N3,90.4191104,23.8217771,90.3802771,23.9723327,90.39969375,23.8970549,POINT (90.39969375 23.8970549),"LINESTRING (90.4191104 23.8217771, 90.3802771 23.9723327)"
N3-5R,Tongi (Int.with R303)-Int.with N105 (Left) (Right),LRP001a,8920,10.73,LRP020,577,20.449,9.719,38.0,2114.0,1612.0,1710.0,1636.0,1971.0,596.0,4129.0,1819.0,991.0,423.0,1645.0,0.0,16616.0,2068.0,18684.0,18684.0,N3,90.4191104,23.8217771,90.3802771,23.9723327,90.39969375,23.8970549,POINT (90.39969375 23.8970549),"LINESTRING (90.4191104 23.8217771, 90.3802771 23.9723327)"
N3-6L,Int.with N105-Joydebpur (Int. with N4)(Left) (Left),LRP020,577,20.449,LRP020,1930,21.802,1.353,38.0,2114.0,1612.0,1710.0,1636.0,1971.0,596.0,4129.0,1819.0,991.0,423.0,1645.0,0.0,16616.0,2068.0,18684.0,18684.0,N3,90.3802771,23.9723327,90.3802771,23.9723327,90.3802771,23.9723327,POINT (90.3802771 23.9723327),"LINESTRING (90.3802771 23.9723327, 90.3802771 23.9723327)"
N3-6R,Int.with N105-Joydebpur (Int. with N4)(Left) (Right),LRP020,577,20.449,LRP020,1930,21.802,1.353,38.0,2114.0,1612.0,1710.0,1636.0,1971.0,596.0,4129.0,1819.0,991.0,423.0,1645.0,0.0,16616.0,2068.0,18684.0,18684.0,N3,90.3802771,23.9723327,90.3802771,23.9723327,90.3802771,23.9723327,POINT (90.3802771 23.9723327),"LINESTRING (90.3802771 23.9723327, 90.3802771 23.9723327)"
N3-7L,Joydebpur (Int. with N4)-Master Bari (Int. with Z8034) (Left) (Left),LRP020,1930,21.802,LRP029,984,29.845,8.043,97.0,2070.0,1107.0,1608.0,858.0,1338.0,103.0,995.0,1619.0,854.0,217.0,570.0,0.0,10649.0,787.0,11436.0,11436.0,N3,90.3802771,23.9723327,90.3881941,24.0520556,90.38423560000001,24.01219415,POINT (90.38423560000001 24.01219415),"LINESTRING (90.3802771 23.9723327, 90.3881941 24.0520556)"
N3-7R,Joydebpur (Int. with N4)-Master Bari (Int. with Z8034) (Left) (Right),LRP020,1930,21.802,LRP029,984,29.845,8.043,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3,90.3802771,23.9723327,90.3881941,24.0520556,90.38423560000001,24.01219415,POINT (90.38423560000001 24.01219415),"LINESTRING (90.3802771 23.9723327, 90.3881941 24.0520556)"
N3-8L,Master Bari (Int. with Z8034)-Rajendrapur  (Int. with R312)(Left) (Left),LRP029,984,29.845,LRP034,135,34.028,4.183,97.0,2070.0,1107.0,1608.0,858.0,1338.0,103.0,995.0,1619.0,854.0,217.0,570.0,0.0,10649.0,787.0,11436.0,11436.0,N3,90.3881941,24.0520556,90.4015556,24.0943608,90.39487485000001,24.0732082,POINT (90.39487485000001 24.0732082),"LINESTRING (90.3881941 24.0520556, 90.4015556 24.0943608)"
N3-8R,Master Bari (Int. with Z8034)-Rajendrapur  (Int. with R312)(Left) (Right),LRP029,984,29.845,LRP034,135,34.028,4.183,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3,90.3881941,24.0520556,90.4015556,24.0943608,90.39487485000001,24.0732082,POINT (90.39487485000001 24.0732082),"LINESTRING (90.3881941 24.0520556, 90.4015556 24.0943608)"
N3-9L,Rajendrapur(Int. with R312)-Bairagirchala(Int. with Z3009)   (Left) (Left),LRP034,135,34.028,LRP045,370,44.872,10.844,97.0,2070.0,1107.0,1608.0,858.0,1338.0,103.0,995.0,1619.0,854.0,217.0,570.0,0.0,10649.0,787.0,11436.0,11436.0,N3,90.4015556,24.0943608,90.4268327,24.1844997,90.41419415,24.13943025,POINT (90.41419415 24.13943025),"LINESTRING (90.4015556 24.0943608, 90.4268327 24.1844997)"
N3-9R,Rajendrapur(Int. with R312)-Bairagirchala(Int. with Z3009)   (Left) (Right),LRP034,135,34.028,LRP045,370,44.872,10.844,111.0,2294.0,1092.0,1610.0,810.0,1305.0,100.0,994.0,1578.0,871.0,203.0,506.0,0.0,10765.0,709.0,11474.0,11474.0,N3,90.4015556,24.0943608,90.4268327,24.1844997,90.41419415,24.13943025,POINT (90.41419415 24.13943025),"LINESTRING (90.4015556 24.0943608, 90.4268327 24.1844997)"
N3-10L,Bairagirchala (Int. with Z3009)  -Mawna (Int.with R313)(Left) (Left),LRP045,370,44.872,LRP048,1306,48.846,3.974,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3,90.4268327,24.1844997,90.417666,24.2100278,90.42224935,24.197263749999998,POINT (90.42224935 24.197263749999998),"LINESTRING (90.4268327 24.1844997, 90.417666 24.2100278)"
N3-10R,Bairagirchala (Int. with Z3009)  -Mawna (Int.with R313)(Left) (Right),LRP045,370,44.872,LRP048,1306,48.846,3.974,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3,90.4268327,24.1844997,90.417666,24.2100278,90.42224935,24.197263749999998,POINT (90.42224935 24.197263749999998),"LINESTRING (90.4268327 24.1844997, 90.417666 24.2100278)"
N3-11L,Mawna (Int.with R313)-Mawna (Int.with R314)   (Left) (Left),LRP048,1306,48.846,LRP048,2016,49.556,0.710,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3,90.417666,24.2100278,90.417666,24.2100278,90.417666,24.2100278,POINT (90.417666 24.2100278),"LINESTRING (90.417666 24.2100278, 90.417666 24.2100278)"
N3-11R,Mawna (Int.with R313)-Mawna (Int.with R314)   (Left) (Right),LRP048,1306,48.846,LRP048,2016,49.556,0.710,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3,90.417666,24.2100278,90.417666,24.2100278,90.417666,24.2100278,POINT (90.417666 24.2100278),"LINESTRING (90.417666 24.2100278, 90.417666 24.2100278)"
N3-12L,Mawna (Int.with R314) -Bhaluka (Int.with Z3030)   (Left) (Left),LRP048,2016,49.556,LRP070,1086,70.291,20.735,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3,90.417666,24.2100278,90.3821382,24.3964163,90.39990209999999,24.30322205,POINT (90.39990209999999 24.30322205),"LINESTRING (90.417666 24.2100278, 90.3821382 24.3964163)"
N3-12R,Mawna (Int.with R314) -Bhaluka (Int.with Z3030)   (Left) (Right),LRP048,2016,49.556,LRP070,1086,70.291,20.735,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3,90.417666,24.2100278,90.3821382,24.3964163,90.39990209999999,24.30322205,POINT (90.39990209999999 24.30322205),"LINESTRING (90.417666 24.2100278, 90.3821382 24.3964163)"
N3-13L,Bhaluka (Int.with Z3030)-Bhaluka (Int.with Z3031)   (Left) (Left),LRP070,1086,70.291,LRP070,1090,70.295,0.004,69.0,2053.0,1085.0,1106.0,236.0,802.0,50.0,618.0,1332.0,703.0,326.0,640.0,8.0,8054.0,974.0,9028.0,9028.0,N3,90.3821382,24.3964163,90.3821382,24.3964163,90.3821382,24.3964163,POINT (90.3821382 24.3964163),"LINESTRING (90.3821382 24.3964163, 90.3821382 24.3964163)"
N3-13R,Bhaluka (Int.with Z3030)-Bhaluka (Int.with Z3031)   (Left) (Right),LRP070,1086,70.291,LRP070,1090,70.295,0.004,96.0,2140.0,1233.0,1010.0,222.0,798.0,79.0,565.0,1179.0,862.0,304.0,590.0,1.0,8184.0,895.0,9079.0,9079.0,N3,90.3821382,24.3964163,90.3821382,24.3964163,90.3821382,24.3964163,POINT (90.3821382 24.3964163),"LINESTRING (90.3821382 24.3964163, 90.3821382 24.3964163)"
