road,id,model_type,condition,name,lat,lon,length
N1,1000164,bridge,B,FOKIR BAZAR SLAB CULVERT,23.1196973774193,91.3328165129032,4.5
N1,1000165,link,NaN,link_LRP132,23.1196973774193,91.3328165129032,497.50000000000955
N1,1000166,bridge,B,KAKKARA CULVERT,23.1158251554,91.335094485,5.3
N1,1000167,link,NaN,link_LRP133,23.1158251554,91.335094485,1070.6999999999935
N1,1000168,bridge,A,Chanara Box Culvert,23.1074284451388,91.3400495436111,6.1
N1,1000169,link,NaN,link_LRP134,23.1074284451388,91.3400495436111,711.8999999999893
N1,1000170,bridge,B,CHANGARPULL(II) BOX CULVERT,23.1017563206521,91.343162998913,6.3
N1,1000171,link,NaN,link_LRP135,23.1017563206521,91.343162998913,1094.6999999999991
N1,1000172,bridge,A,PODOYA BOX CULVERT,23.0930298369186,91.3478308386627,6.175
N1,1000173,link,NaN,link_LRP136,23.0930298369186,91.3478308386627,1394.8250000000105
N1,1000174,bridge,A,UTTOR KAIEATI CULVERT,23.0819909531309,91.3541811474383,8.85
N1,1000175,link,NaN,link_LRP137,23.0819909531309,91.3541811474383,1472.1499999999946
N1,1000176,bridge,B,DUTHOSHA BOX CULVERT,23.070198184,91.3603022,6.1
N1,1000177,link,NaN,link_LRP138,23.070198184,91.3603022,1090.9000000000085
N1,1000178,bridge,B,MOHAMMAD ALI MAZAR,23.0607473333333,91.3618624619047,4.0
N1,1000179,link,NaN,link_LRP140,23.0607473333333,91.3618624619047,2574.0000000000027
N1,1000180,bridge,A,FATAPUR BOX CULVERT,23.0379728055555,91.3656784724359,10.8
N1,1000181,link,NaN,link_LRP142,23.0379728055555,91.3656784724359,1251.2000000000005
N1,1000182,bridge,A,DEBIPUR SLAB CULVERT,23.0269801170731,91.3655004839721,1.6
N1,1000183,link,NaN,link_LRP143,23.0269801170731,91.3655004839721,2144.3999999999864
N1,1000184,bridge,A,CHARIPUR CULVERT.,23.0124048410423,91.3779796149837,3.4
N1,1000185,intersection,NaN,IS_N1N104,23.01112163043235,91.3760764838232,20.0
N1,1000186,link,NaN,link_LRP145,23.0124048410423,91.3779796149837,2353.599999999999
N1,1000187,bridge,A,RAMPUR BOX CULVERT,22.999248756,91.3957752,1.5
N1,1000188,link,NaN,link_LRP148,22.999248756,91.3957752,853.5000000000182
N1,1000189,bridge,B,Rampur Bridge(L),22.9947280792802,91.4022894900763,15.636666666666665
N1,1000190,link,NaN,link_LRP149,22.9947280792802,91.4022894900763,5676.363333333313
N1,1000191,bridge,C,Lemua Bridge(L),22.9614487369369,91.4429962027027,98.87
N1,1000192,link,NaN,link_LRP155,22.9614487369369,91.4429962027027,4089.1300000000165
N1,1000193,bridge,A,FAZAILPUR BOXCULVERT,22.9486038666666,91.4794993833333,1.5
N1,1000194,link,NaN,link_LRP159,22.9486038666666,91.4794993833333,2346.4999999999845
N1,1000195,bridge,B,Muhuri Bridge(L),22.9496126090047,91.502066899526,193.22
N1,1000196,link,NaN,link_LRP161,22.9496126090047,91.502066899526,4610.780000000002
N1,1000197,bridge,B,DHOOM GHAT PC GIRDER,22.9149647061403,91.5262895350877,113.35
N1,1000198,link,NaN,link_LRP166,22.9149647061403,91.5262895350877,1182.6500000000208
N1,1000199,bridge,A,BOROYAR PARA SLUB CULVERT,22.9042462955223,91.5316297776119,3.0
N1,1000200,link,NaN,link_LRP167,22.9042462955223,91.5316297776119,1480.9999999999804
N1,1000201,bridge,A,BAROYARHAT BOX CULVERT,22.8916386,91.5354719,3.0
N1,1000202,link,NaN,link_LRP169,22.8916386,91.5354719,1966.9999999999989
N1,1000203,bridge,A,UTTOR SONAPAR BOX CULVERT,22.8746986941176,91.5408836647058,2.6
N1,1000204,link,NaN,link_LRP171,22.8746986941176,91.5408836647058,1618.4000000000094
N1,1000205,bridge,A,DHARBAR TILA CULVERT,22.8609876872509,91.5451551717131,3.15
N1,1000206,link,NaN,link_LRP172,22.8609876872509,91.5451551717131,564.8500000000121
N1,1000207,bridge,A,MAMAFOUN ASTANA CULVERT,22.8560565672727,91.5457188709091,1.5
N1,1000208,link,NaN,link_LRP173,22.8560565672727,91.5457188709091,845.49999999998
N1,1000209,bridge,A,MASTANNAGOR BONCUL(1),22.8486172764705,91.5463706117647,4.333333333333333
N1,1000210,link,NaN,link_LRP174,22.8486172764705,91.5463706117647,885.6666666666814
N1,1000211,bridge,A,MUSTAN NAGAR -4,22.8410943334277,91.5488096951841,3.0
N1,1000212,link,NaN,link_LRP175,22.8410943334277,91.5488096951841,1150.9999999999964
N1,1000213,bridge,A,RAIPUR (2) BOX CULVERT,22.8309613422018,91.5505028545871,8.45
N1,1000214,link,NaN,link_LRP176,22.8309613422018,91.5505028545871,2225.5500000000093
N1,1000215,bridge,B,MUCHIPOOL CULVERT,22.811563437647,91.5562562129411,9.5
N1,1000216,link,NaN,link_LRP179,22.811563437647,91.5562562129411,2106.4999999999854
N1,1000217,bridge,A,MIRSARAI BOX CUL,22.7941813523326,91.5629612622718,4.5
N1,1000218,link,NaN,link_LRP181,22.7941813523326,91.5629612622718,1482.4999999999948
N1,1000219,bridge,B,MIRAISORI BRIDGE,22.7821968918511,91.5691025661971,23.2
N1,1000220,link,NaN,link_LRP182,22.7821968918511,91.5691025661971,951.7999999999943
N1,1000221,bridge,A,Mirsorai(2) box culvert,22.774197092,91.5728737519999,6.0
N1,1000222,link,NaN,link_LRP183,22.774197092,91.5728737519999,487.0000000000234
N1,1000223,bridge,A,IANAINIPOL BOX CULVERT.,22.770251666098,91.5750905211087,9.7
N1,1000224,link,NaN,link_LRP184,22.770251666098,91.5750905211087,968.2999999999802
N1,1000225,bridge,A,BOKIMTOLA BOX CULVERT,22.7630626913907,91.5804538821192,4.0
N1,1000226,link,NaN,link_LRP185,22.7630626913907,91.5804538821192,1354.000000000004
N1,1000227,bridge,A,VARTAKA BOX CULVERT,22.7535653245121,91.5886004236585,12.9
N1,1000228,link,NaN,link_LRP186,22.7535653245121,91.5886004236585,391.0999999999964
N1,1000229,bridge,A,VARTAGIA BOX CULVERT,22.7506393495689,91.5908840370689,5.55
N1,1000230,link,NaN,link_LRP187,22.7506393495689,91.5908840370689,3286.4500000000016
N1,1000231,bridge,A,NIAZAMPUR BOX CULVERT,22.723316755473,91.6024331404452,3.0
N1,1000232,link,NaN,link_LRP190,22.723316755473,91.6024331404452,704.9999999999984
N1,1000233,bridge,A,MIRJAPUR BOX CULVERT,22.7178243865384,91.6057623307692,8.4
N1,1000234,link,NaN,link_LRP191,22.7178243865384,91.6057623307692,2040.6000000000063
N1,1000235,bridge,A,DUKHIN UTHPAR BOX CULVERT,22.701816503937,91.6149734608923,19.2
N1,1000236,link,NaN,link_LRP193,22.701816503937,91.6149734608923,1281.7999999999877
N1,1000237,bridge,A,VANGGARPOL BOX CULVERT,22.6912517148148,91.6201690574074,4.2
N1,1000238,link,NaN,link_LRP194,22.6912517148148,91.6201690574074,537.8000000000015
N1,1000239,bridge,A,BORO KAMALDA BOX CULVERT,22.6868697647058,91.6220385823529,3.2
N1,1000240,link,NaN,link_LRP195,22.6868697647058,91.6220385823529,1195.8000000000122
N1,1000241,bridge,A,TARAT BOX CULVERT,22.6769772991044,91.6268169453731,6.0
N1,1000242,link,NaN,link_LRP196,22.6769772991044,91.6268169453731,842.9999999999895
N1,1000243,bridge,A,Tarial Bazar Culvert,22.6699594391304,91.6293531695652,3.0
N1,1000244,link,NaN,link_LRP197,22.6699594391304,91.6293531695652,1037.0000000000205
N1,1000245,bridge,A,SATU DURUAR HAT BOX CULVERT,22.6615956814814,91.6335257425926,3.0
N1,1000246,link,NaN,link_LRP198,22.6615956814814,91.6335257425926,884.0000000000005
N1,1000247,bridge,A,RONA SORA CULVERT,22.6547124294117,91.6379261764705,6.7
N1,1000248,link,NaN,link_LRP199,22.6547124294117,91.6379261764705,2347.299999999985
N1,1000249,bridge,A,KACHAI PATH BOX CULVERT,22.636096590965,91.648209240657,3.0
N1,1000250,link,NaN,link_LRP201,22.636096590965,91.648209240657,994.9999999999905
N1,1000251,bridge,A,EGOL PUR BOX CULVERT,22.6281666352941,91.6527578258312,4.55
N1,1000252,link,NaN,link_LRP202,22.6281666352941,91.6527578258312,636.4500000000196
N1,1000253,bridge,A,SITAKUNDA SLAB,22.6230461711711,91.6554672531531,3.0
N1,1000254,link,NaN,link_LRP203,22.6230461711711,91.6554672531531,1077.9999999999889
N1,1000255,bridge,A,PURBOMOHADAB PUR SLAB CULVERT(L),22.6149899686274,91.6602670503268,4.6
N1,1000256,link,NaN,link_LRP204,22.6149899686274,91.6602670503268,431.400000000007
N1,1000257,bridge,A,MADICAL MORE CULVERT,22.6117556741935,91.6625686731182,3.0
N1,1000258,link,NaN,link_LRP205,22.6117556741935,91.6625686731182,1018.9999999999914
N1,1000259,bridge,A,DOKHIN MOHADEB PUR BOX CULVERT,22.6038394411764,91.6673745588235,5.583333333333333
N1,1000260,link,NaN,link_LRP206,22.6038394411764,91.6673745588235,1302.4166666666595
N1,1000261,bridge,A,HATILOTA BOX CULVERT,22.5938881803921,91.6738889367647,4.5
N1,1000262,link,NaN,link_LRP207,22.5938881803921,91.6738889367647,845.5000000000227
N1,1000263,bridge,C,BAROCONDO BRIDGE,22.5870350167767,91.6770444686922,12.375
N1,1000264,link,NaN,link_LRP208,22.5870350167767,91.6770444686922,1238.6250000000048
N1,1000265,bridge,A,BARO-CUNDHOW BOX CULVERT,22.5767930229508,91.68162274153,10.2
N1,1000266,link,NaN,link_LRP209,22.5767930229508,91.68162274153,763.7999999999724
N1,1000267,bridge,A,PHPMORE BON CULVERT,22.5702905930578,91.6840096656198,5.233333333333333
N1,1000268,link,NaN,link_LRP210,22.5702905930578,91.6840096656198,1378.7666666666812
N1,1000269,bridge,A,OHIDPUR BOX CULVERT,22.5585210862619,91.687506242492,4.1
N1,1000270,link,NaN,link_LRP211,22.5585210862619,91.687506242492,485.9000000000091
N1,1000271,bridge,B,BARSH BARIA BRIDGE,22.5543319776357,91.6887963149094,21.6
N1,1000272,link,NaN,link_LRP212,22.5543319776357,91.6887963149094,940.3999999999891
N1,1000273,bridge,A,SOUTH BALSH KHALI BOX CULVERT,22.5467727210909,91.6926260603636,4.1
N1,1000274,link,NaN,link_LRP213,22.5467727210909,91.6926260603636,952.8999999999936
N1,1000275,bridge,A,SOTTANA MONDIR CULVERT,22.5390300234693,91.6965452744898,8.2
N1,1000276,link,NaN,link_LRP214,22.5390300234693,91.6965452744898,1041.8000000000113
N1,1000277,bridge,A,GULAM JUTE MILE BOX CULVERT,22.5303678038461,91.7004641228571,9.65
N1,1000278,link,NaN,link_LRP215,22.5303678038461,91.7004641228571,2314.3499999999835
N1,1000279,bridge,C,BORO KUMIRA BRIDGE,22.5113471164122,91.7087907889313,27.0
N1,1000280,link,NaN,link_LRP217,22.5113471164122,91.7087907889313,633.000000000025
N1,1000281,bridge,A,ROYL CIMINT GATE CULVETRT,22.5060220437735,91.7112848218867,11.05
N1,1000282,link,NaN,link_LRP218,22.5060220437735,91.7112848218867,1898.9499999999966
N1,1000283,bridge,B,GORA MARI BOX CULVERT,22.4904405976324,91.7182726733934,3.0
N1,1000284,link,NaN,link_LRP219,22.4904405976324,91.7182726733934,561.9999999999977
N1,1000285,bridge,A,BARAOWLLA BOX CULVERT,22.4855480068965,91.7195309517241,14.415
N1,1000286,link,NaN,link_LRP220,22.4855480068965,91.7195309517241,1470.5849999999853
N1,1000287,bridge,A,HATIBORI BOX CULVERT,22.4728530893544,91.7232633541336,6.0
N1,1000288,link,NaN,link_LRP221,22.4728530893544,91.7232633541336,1292.0000000000018
N1,1000289,bridge,D,Modonhat Bridge,22.4624386352,91.7285307,24.32
N1,1000290,link,NaN,link_LRP223,22.4624386352,91.7285307,1607.680000000005
N1,1000291,bridge,A,KODOM RASUL BOX CULVERT,22.4488628503871,91.7342823894358,3.0
N1,1000292,link,NaN,link_LRP224,22.4488628503871,91.7342823894358,327.0000000000125
N1,1000293,bridge,C,SALAKHARPAD BRIDGE,22.4460793332411,91.7353674287057,26.3
N1,1000294,link,NaN,link_LRP225,22.4460793332411,91.7353674287057,1029.6999999999832
N1,1000295,bridge,A,HASNA BAD BOX CULVERT,22.4375035216216,91.7386659473513,21.5
N1,1000296,link,NaN,link_LRP226,22.4375035216216,91.7386659473513,1937.5000000000032
N1,1000297,bridge,B,DHAMAKHALI BRIDGE,22.4220415536,91.7480209792,35.1
N1,1000298,link,NaN,link_LRP228,22.4220415536,91.7480209792,2291.8999999999983
N1,1000299,bridge,A,VATIARI CULVERT,22.4030145445,91.75657411625,5.0
N1,1000300,link,NaN,link_LRP230,22.4030145445,91.75657411625,763.0000000000007
N1,1000301,bridge,A,T. B HOSPITAL GATE BOX CULVERT,22.3963398830265,91.7582551580777,10.5
N1,1000302,link,NaN,link_LRP231,22.3963398830265,91.7582551580777,1322.4999999999984
