road,id,model_type,length,condition,LRPName,name,chainage,lat,lon
N1,212,bridge,4.5,A,LRP181,MIRSARAI BOX CUL,179.363,22.7941813523326,91.5629612622718
N1,213,link,1482.4999999999948,0,LRP181-road,road N1,179.3675,22.7941813523326,91.5629612622718
N1,214,bridge,23.2,B,LRP182,MIRAISORI BRIDGE,180.85,22.7821968918511,91.5691025661971
N1,215,link,951.7999999999943,0,LRP182-road,road N1,180.8732,22.7821968918511,91.5691025661971
N1,216,bridge,6.0,A,LRP183,Mirsorai(2) box culvert,181.825,22.774197092,91.5728737519999
N1,217,link,487.0000000000234,0,LRP183-road,road N1,181.831,22.774197092,91.5728737519999
N1,218,bridge,9.7,A,LRP184,IANAINIPOL BOX CULVERT.,182.318,22.770251666098,91.5750905211087
N1,219,link,968.2999999999802,0,LRP184-road,road N1,182.32770000000002,22.770251666098,91.5750905211087
N1,220,bridge,4.0,A,LRP185,BOKIMTOLA BOX CULVERT,183.296,22.7630626913907,91.5804538821192
N1,221,link,1354.000000000004,0,LRP185-road,road N1,183.29999999999998,22.7630626913907,91.5804538821192
N1,222,bridge,12.9,A,LRP186,VARTAKA BOX CULVERT,184.654,22.7535653245121,91.5886004236585
N1,223,link,391.0999999999964,0,LRP186-road,road N1,184.6669,22.7535653245121,91.5886004236585
N1,224,bridge,5.55,B,LRP187,VARTAGIA BOX CULVERT,185.058,22.7506393495689,91.5908840370689
N1,225,link,3286.4500000000016,0,LRP187-road,road N1,185.06355,22.7506393495689,91.5908840370689
N1,226,bridge,3.0,A,LRP190,NIAZAMPUR BOX CULVERT,188.35,22.723316755473,91.6024331404452
N1,227,link,704.9999999999984,0,LRP190-road,road N1,188.35299999999998,22.723316755473,91.6024331404452
N1,228,bridge,8.4,C,LRP191,MIRJAPUR BOX CULVERT,189.058,22.7178243865384,91.6057623307692
N1,229,link,2040.6000000000063,0,LRP191-road,road N1,189.0664,22.7178243865384,91.6057623307692
N1,230,bridge,19.2,A,LRP193,DUKHIN UTHPAR BOX CULVERT,191.107,22.701816503937,91.6149734608923
