name,length,condition,betweenness,total_delay_time,vehicle_count
SHAT GOREA PARA BOX CULVERT,10.6,A,0.16058249183673937,0.0,26405
RASHIDNAGAR,2.75,A,0.15900361311521924,0.0,26407
DOLERCHARA CULVERT,9.95,A,0.15742107322564924,0.0,26406
ROSHIDNAGAR (2),14.05,A,0.1558348721680293,0.0,26413
JOARIANALA CULVERT,7.2,A,0.15424500994235948,0.0,26409
JOARIANALA,24.866666666666664,A,0.15265148654863978,0.0,26409
JOARIANALA CULVERT,14.0,B,0.15105430198687014,72567.3969660723,26435
MITA CHARI BOX CULVERT,9.2,A,0.14945345625705062,0.0,26415
RAMU HOSPITAL GATE,30.05,A,0.1478489493591812,0.0,26420
MARULA (WEST),4.233333333333333,A,0.14624078129326185,0.0,26420
RAMU BY PASS MORE,11.7,A,0.14462895205929263,0.0,26417
ROMA TECHIPUL,7.8,A,0.1430134616572735,0.0,26417
CHAKMARKOOL,10.9,A,0.14139431008720446,0.0,26419
KHURUTIA BOX CULVERT,4.4,A,0.1397714973490855,0.0,26420
KHURULIA SCHOOL BOX CULVERT,14.133333333333336,A,0.13814502344291668,0.0,26421
Sarkarpara Bridge,11.95,A,0.13651488836869793,0.0,26425
MUKTAR KUL,9.2,A,0.1348810921264293,0.0,26426
Bakkhali Bridge,39.775000000000006,C,0.13324363471611075,117394.1773577014,26448
BESIC AREA,7.9,C,0.1316025161377423,37364.34996091467,26445
KAMBIR GONA,5.900000000000001,C,0.12995773639132394,50331.75842792763,26449
KANAR PARA,9.166666666666666,A,0.1283092954768557,0.0,26436
SOUTH MITHACHARI,4.1,B,0.12665719339433754,27850.13606553049,26446
SOUTH MITHACHARI,5.266666666666667,A,0.1250014301437695,0.0,26428
CHALATOLI,3.625,A,0.12334200572515154,0.0,26426
PANCHORI,15.15,A,0.12167892013848368,0.0,26430
PANAR CHORH -3 SLAB CULVERT,2.3428571428571425,C,0.12001217338376592,41174.26633957799,26443
PANCHORI,1.842857142857143,A,0.11834176546099827,0.0,26434
PANAR CHORI SLAB CULVERT,1.3,A,0.1166676963701807,0.0,26433
TULA BAGAN.,2.52,A,0.11498996611131324,0.0,26433
TULA BAGAN,2.5,A,0.11330857468439587,0.0,26438
Modomconiara,16.4,C,0.1116235220894286,89604.37404684369,26455
KHONIA POLONG,8.2,A,0.10993480832641143,0.0,26439
DOA PATONG,24.1,C,0.10824243339534437,126743.33081575054,26461
JASOYA PALONG,25.3,C,0.10654639729622739,98500.05549739033,26452
MORICHIA,20.6,D,0.10484670002906052,211497.29187541403,26486
MORICHIA PALONG,2.4,B,0.10314334159384375,29041.44023012375,26446
MORICHIA PALONG,31.8,C,0.10143632199057707,98004.41477530678,26467
SHAPUR,11.8,A,0.09972564121926049,0.0,26445
RATNAPALANG,18.025,A,0.098011299279894,0.0,26444
HIZOLIA BRIDGE,31.05,C,0.09629329617247763,106209.86160414436,26464
JADIMURA BRIDGE,8.666666666666666,C,0.09457163189701134,39580.22757521233,26438
JADIMORA (1),7.333333333333333,A,0.09284630645349516,0.0,26432
UKLIA-SHAHABMARKAT,11.55,C,0.09111731984192907,90263.59626241549,26446
P. F PARA SLAB,6.65,A,0.08938467206231308,0.0,26433
KUTU - PALONG MOSZID SLAB,5.066666666666666,B,0.08764836311464719,30761.93356451281,26435
KATU PALLANG SLAB,2.0,A,0.0859083929989314,0.0,26432
BALAKHALI TV CENTER,4.300000000000001,A,0.08416476171516571,0.0,26435
BALUKHALI KASTOM,14.933333333333335,A,0.08241746926335011,0.0,26435
